Energy_keV,InputSpectrum,DetectedSpectrum,GaussianFit
1.150000000000000888e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.939794508005856058e-11
1.160000000000000853e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.478748311627551325e-10
1.170000000000000817e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.736050776528688105e-10
1.180000000000000782e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.029200335508526763e-10
1.190000000000000924e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.183719502335470065e-10
1.200000000000000888e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.666031380285647831e-09
1.210000000000000853e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.002566505903667052e-09
1.220000000000000995e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.375848064518606282e-09
1.230000000000000959e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.561944706940982138e-09
1.240000000000000924e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.689625136622734250e-08
1.250000000000000888e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.966056281920413245e-08
1.260000000000000853e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.172652521836486354e-08
1.270000000000000995e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.961735350811372817e-08
1.280000000000000959e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.542466767167794308e-07
1.290000000000000924e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.637451054920336510e-07
1.300000000000001066e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.480205075716434221e-07
1.310000000000001030e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.560600147603478664e-07
1.320000000000000995e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.267533770557721895e-06
1.330000000000000959e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.111094621566855062e-06
1.340000000000000924e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.493017419688533635e-06
1.350000000000001066e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.741676180423065859e-06
1.360000000000001030e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.376084901955198284e-06
1.370000000000000995e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.521070203502933083e-05
1.380000000000001137e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.451443444673708224e-05
1.390000000000001101e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.924997547685755717e-05
1.400000000000001066e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.243121584369041351e-05
1.410000000000001030e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.865272543803760665e-05
1.420000000000000995e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.548678519417098797e-04
1.430000000000001137e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.415229214344337817e-04
1.440000000000001101e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.741970192108514380e-04
1.450000000000001066e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.759531872208054071e-04
1.460000000000001208e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.806816349892991180e-04
1.470000000000001172e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.337813536318642037e-03
1.480000000000001137e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.018910764732100623e-03
1.490000000000001101e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.026798800921834311e-03
1.500000000000001066e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.508113842291278615e-03
1.510000000000001208e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.670387867575161729e-03
1.520000000000001172e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.805103739181222217e-03
1.530000000000001137e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.431852195586682218e-02
1.540000000000001279e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.077251486822486934e-02
1.550000000000001243e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.993814303804802693e-02
1.560000000000001208e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.286526681872457334e-02
1.570000000000001172e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.097209190140143176e-02
1.580000000000001137e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.615917891921995309e-02
1.590000000000001279e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.209530709494322648e-01
1.600000000000001421e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.686852616273162853e-01
