Energy_keV,RawThresholdEnergy_keV,Differential_counts,Differential_error,Differential_SEM,DifferentialNorm_ROI1,DifferentialNorm_ROI2,DifferentialNorm_ROI3,DifferentialNorm_ROI4,DifferentialNorm_ROI5
15.1396396396396,14.5,0.119977336866485,0.00290923601549517,0.00130104989864757,0.124097141942003,0.121661258826712,0.116818090671375,0.119188366437567,0.118121826454768
15.6396396396396,15,0.140246979706808,0.00211546925615804,0.000946066612216057,0.143071123749592,0.141017109050853,0.139001785865687,0.140657109750666,0.137487770117232
16.1396396396396,15.5,0.122586827120933,0.00506974393918209,0.00226725841530574,0.131322361541578,0.122732845528674,0.11929434753996,0.11969472059344,0.119889860401018
16.6396396396396,16,0.1694728668191,0.00225751073687833,0.00100958949351912,0.172443029269624,0.170757425069678,0.168908643616842,0.168807709233613,0.166447526905742
17.1396396396396,16.5,0.188002737340473,0.00505439773501925,0.0022603953841648,0.196589898217768,0.188575708189277,0.185064873892581,0.185147303638886,0.184635902763852
17.6396396396396,17,0.184042408590459,0.00660030590659141,0.00295174653588635,0.194667098217229,0.186202067943643,0.18063721894821,0.180103948956809,0.178601708886397
18.1396396396396,17.5,0.255943689380491,0.0136668405135386,0.00611199688518408,0.278429178380663,0.258592207596457,0.247854471460467,0.250872409519055,0.243970179945818
18.6396396396396,18,0.340292534758437,0.0226658412256604,0.0101364723495588,0.376059642799947,0.349137078312969,0.327458055034809,0.328134315402452,0.320673582242009
19.1396396396396,18.5,0.372422304076269,0.0309906060202317,0.0138594203450305,0.421343853836247,0.38358430106977,0.355469028620953,0.35814547201628,0.343568864838094
19.6396396396396,19,0.6333800771677,0.0432465014076236,0.0193404233872973,0.70087321699412,0.651337986184102,0.610346850914533,0.610067599120928,0.594274732624818
20.1396396396396,19.5,0.820054518024863,0.0404065611145995,0.0180703634778488,0.879533804270736,0.841047523945,0.802335823496717,0.800281808797979,0.777073629613879
20.6396396396396,20,0.865752223584462,0.0215044689789433,0.00961709089139052,0.893533403224787,0.880975483711209,0.859923935848797,0.854949552995262,0.839378742142258
21.1396396396396,20.5,1,0.0236598450925879,0.0105810043928283,0.960254395019493,0.997238435274817,1.01970811122162,1.01272345190207,1.010075606582
21.6396396396396,21,0.848044631838473,0.0658248603699516,0.0294377724793287,0.745572008607684,0.820687376607716,0.888298273214572,0.877828013194143,0.907837487568248
22.1396396396396,21.5,0.486646717546568,0.0689814165586588,0.0308494273218782,0.385163924167325,0.452154074317313,0.513848533827149,0.519944970574263,0.562122084846788
22.6396396396396,22,0.287158993186256,0.0681216807644908,0.0304649417861882,0.190580937936121,0.250551101732438,0.303568568763904,0.325457872007127,0.365636485491692
23.1396396396396,22.5,0.086269290242875,0.0286196512989759,0.01279909715937,0.0495604644058262,0.0686757543499355,0.0886405753529003,0.100719056546133,0.12375060055958
23.6396396396396,23,0.0243130742325286,0.00543148581380454,0.00242903429969854,0.0178115541607171,0.0210986505745858,0.0239988318527381,0.0265894810223173,0.0320668535522847
24.1396396396396,23.5,0.0141082716399953,0.00159448578556361,0.000713075721135478,0.0121239016656865,0.0130323111147597,0.0143629627336799,0.0147784759446449,0.0162437067412056
24.6396396396396,24,0.0104981851997895,0.000509391798489625,0.000227806937720735,0.00988652283741354,0.0100799804052717,0.0105425963284109,0.0109648384982579,0.0110169879295936
25.1396396396396,24.5,0.00860701130599675,0.000189573563847171,8.47798750998342e-05,0.00838091828756071,0.00861643184843155,0.00867194575920822,0.00848689938995257,0.00887886124483049
25.6396396396396,25,0.00776555499779961,8.77381153445264e-05,3.92376780256157e-05,0.00764409728997909,0.00788633980973194,0.00779213438538361,0.00773830271432745,0.00776690078957602
26.1396396396396,25.5,0.00828603996732416,0.000172302741274512,7.70561284398735e-05,0.00823792791131774,0.00804951706262104,0.00823456343187673,0.00848017043107055,0.0084280209997349
26.6396396396396,26,0.00786043331803616,0.000252416132099175,0.000112883925998264,0.00752129379038216,0.00818746071970254,0.00796372283687523,0.00771979807740187,0.00790989116581903
27.1396396396396,26.5,0.00737292024703352,0.000114314347152002,5.11229302070773e-05,0.0075616675436743,0.0072504531953807,0.00734297638000852,0.00734802309917003,0.0073614810169341
27.6396396396396,27,0.00705194890836102,0.000153688043543899,6.87313825386213e-05,0.00704185547003796,0.00696615468261519,0.0069981172373048,0.00693587436764608,0.00731774278420094
28.1396396396396,27.5,0.00788465757001144,0.00014774528329614,6.60736993610267e-05,0.00779718110454513,0.00790652668637803,0.00794521819994967,0.00808147961731067,0.00769288224187376
28.6396396396396,28,0.00552010141886833,0.000153474298634261,6.8635792909062e-05,0.00549924164633403,0.00547737252996744,0.0053932605439421,0.00544540997527779,0.00578522239882
29.1396396396396,28.5,0.00713471510260986,0.000159162459936941,7.11796159770176e-05,0.00717307016823741,0.00732110726364195,0.00710409833969669,0.00688708941575143,0.007188210325722
29.6396396396396,29,0.00701931345778316,0.000209635014633351,9.3751628636867e-05,0.00685512686106182,0.006772697114757,0.00727400455146779,0.0071713879285169,0.0070233508331124
30.1396396396396,29.5,0.00604125928428104,0.000116842417847028,5.22535177922778e-05,0.00603419387745487,0.00599045564472173,0.00593325949422455,0.00623942712335662,0.00600896028164731
30.6396396396396,30,0.00683527643235983,0.000207572294640194,9.28291522122177e-05,0.00688708941575143,0.00702166859339189,0.00686353805966432,0.00647998740338897,0.00692409868960254
